review_scores_rating,high_booking_rate
100,0
100,0
100,0
98,1
98,0
99,0
97,1
92,0
94,0
95,0
87,0
98,0
89,0
95,0
98,0
98,1
97,1
97,0
90,0
94,0
89,0
95,1
91,0
98,0
90,0
100,0
95,1
80,0
97,0
98,1
100,0
74,0
98,0
82,0
60,0
80,0
97,1
60,0
100,0
90,0
96,0
100,0
96,1
100,0
100,0
99,1
95,0
93,1
100,0
100,1
93,0
97,1
100,0
91,0
80,0
100,0
94,1
93,0
90,0
100,0
92,1
95,1
80,0
97,1
95,0
94,0
93,0
96,0
95,0
98,0
97,0
97,0
100,0
100,0
100,0
97,1
98,1
80,0
100,0
99,1
77,1
95,0
84,0
96,0
99,1
97,1
100,0
92,0
97,0
88,0
100,0
100,0
50,1
87,0
100,0
89,1
96,0
87,1
96,1
90,0
94,0
95,1
97,0
84,0
95,1
100,0
99,1
96,1
99,0
100,0
100,0
89,0
94,0
94,0
100,0
98,0
94,0
97,1
100,0
100,0
100,0
100,1
89,0
100,0
97,1
89,1
89,0
97,1
93,0
87,0
100,0
80,1
98,1
100,0
100,0
94,1
83,0
60,0
98,0
98,0
92,0
92,1
98,0
90,0
100,0
97,1
80,0
91,0
93,0
93,0
100,1
97,1
88,0
100,0
100,0
92,0
100,0
100,0
96,0
96,0
100,0
99,0
90,0
96,0
96,0
100,0
95,0
100,0
88,0
100,0
94,0
83,0
100,0
100,1
96,0
96,1
89,0
100,0
96,0
76,1
82,1
100,0
92,0
96,0
100,0
100,0
100,0
98,0
93,0
95,1
94,1
97,1
80,0
80,0
99,1
97,1
100,0
94,1
80,0
98,0
90,0
87,0
100,0
100,0
100,0
99,0
80,0
95,0
88,1
100,0
100,0
96,1
89,0
80,0
80,0
92,1
90,0
99,1
96,0
87,0
100,0
100,0
99,1
97,1
100,0
100,0
100,0
85,0
94,1
92,1
100,0
100,0
100,0
91,0
94,1
87,0
87,0
93,0
100,0
100,0
94,1
97,0
99,1
99,0
96,0
99,1
93,0
98,0
100,0
88,0
80,0
93,0
99,0
100,0
80,0
87,0
97,0
85,0
99,0
90,0
94,0
96,1
100,0
90,0
99,0
93,0
92,0
100,0
96,0
97,0
94,1
87,0
90,1
60,0
93,0
98,0
60,0
95,0
98,0
96,0
87,0
95,0
100,0
100,0
98,1
92,1
89,1
89,0
90,0
97,0
98,0
98,1
93,0
94,0
90,1
100,1
96,0
90,0
92,1
100,0
88,0
98,0
88,1
100,0
100,1
90,0
93,0
100,0
90,0
94,0
100,0
100,0
81,0
90,0
90,0
100,0
67,0
100,0
99,1
80,0
100,0
94,0
65,0
99,1
98,1
99,0
100,0
100,0
99,1
100,0
96,0
100,0
100,0
94,1
98,1
94,0
88,1
93,1
99,0
93,0
100,0
100,0
99,1
100,0
100,0
93,1
90,0
99,0
98,0
90,1
97,0
96,0
98,0
